Corrida de Negamax
Estado | Tiempo | Evaluados | Generados
32 | 2e-06 | 1 | 1
31 | 0.000183 | 1 | 2
30 | 0.00021 | 2 | 5
29 | 0.000287 | 2 | 6
28 | 0.000241 | 4 | 13
27 | 0.0003 | 4 | 14
26 | 0.000557 | 27 | 91
25 | 0.000484 | 52 | 177
24 | 0.003217 | 305 | 1049
23 | 0.019172 | 1330 | 4498
22 | 0.045183 | 3381 | 11978
21 | 0.205447 | 21699 | 76826
20 | 0.958791 | 119923 | 428402
19 | 7.26129 | 953486 | 3478735
18 | 27.6501 | 3619363 | 13078933
17 | 191.338 | 25526376 | 90647895
Se acabo el tiempo
