Corrida de Negamax Alpha Beta
Estado | Tiempo | Evaluados | Generados
32 | 3e-06 | 1 | 1
31 | 0.000148 | 1 | 2
30 | 0.000204 | 2 | 5
29 | 0.000109 | 2 | 6
28 | 0.000242 | 4 | 13
27 | 0.000231 | 4 | 14
26 | 0.000319 | 6 | 27
25 | 0.000572 | 20 | 82
24 | 0.001349 | 52 | 238
23 | 0.004882 | 234 | 1003
22 | 0.007105 | 350 | 1502
21 | 0.010602 | 900 | 4068
20 | 0.023476 | 2099 | 9130
19 | 0.257173 | 22734 | 98755
18 | 0.384627 | 29515 | 127644
17 | 0.789302 | 62587 | 267604
16 | 3.24521 | 299087 | 1259430
15 | 5.41642 | 482139 | 2031924
14 | 72.2733 | 7176690 | 29501798
13 | 109.751 | 10625624 | 43574643
12 | 272.838 | 25626713 | 107642871
Se acabo el tiempo
