Corrida de Negascout
Estado | Tiempo | Evaluados | Generados
32 | 4e-06 | 1 | 1
31 | 0.000201 | 1 | 2
30 | 0.000203 | 2 | 5
29 | 0.000204 | 2 | 6
28 | 0.000195 | 6 | 20
27 | 0.000167 | 6 | 21
26 | 0.000222 | 8 | 34
25 | 0.000316 | 20 | 84
24 | 0.001171 | 68 | 313
23 | 0.003448 | 311 | 1352
22 | 0.011096 | 481 | 2116
21 | 0.00915 | 733 | 3456
20 | 0.045542 | 2566 | 11307
19 | 0.131224 | 10336 | 47207
18 | 0.264064 | 17699 | 79413
17 | 0.47139 | 40718 | 179943
16 | 1.56313 | 139424 | 602554
15 | 2.91727 | 262816 | 1126447
14 | 18.7209 | 1686942 | 7148773
13 | 65.2527 | 6081659 | 25650123
12 | 161.902 | 14452766 | 62053667
Se acabo el tiempo
