Corrida de Scout
Estado | Tiempo | Evaluados | Generados
32 | 4e-06 | 1 | 1
31 | 0.000184 | 1 | 2
30 | 0.000106 | 1 | 3
29 | 0.000117 | 1 | 4
28 | 0.000283 | 3 | 11
27 | 0.000214 | 3 | 12
26 | 0.000266 | 3 | 13
25 | 0.000596 | 3 | 14
24 | 0.002109 | 13 | 64
23 | 0.008983 | 51 | 235
22 | 0.011617 | 64 | 305
21 | 0.021077 | 77 | 368
20 | 0.048507 | 218 | 1037
19 | 0.23636 | 921 | 4381
18 | 0.54234 | 2040 | 9360
17 | 0.8209 | 2291 | 10598
16 | 2.1825 | 4015 | 18107
15 | 3.55824 | 4755 | 21383
14 | 22.6899 | 25779 | 112896
13 | 111.264 | 79880 | 351191
12 | 214.511 | 104331 | 460370
Se acabo el tiempo
